stock_code,rows_changed,first,last,old_max_ratio,new_max_ratio
BEBS,380,2022-12-21,2024-07-31,2025.0,1.05
MSIN,243,2020-12-29,2025-06-23,6.6441441441441444,1.05
DSSA,218,2024-07-18,2026-06-30,152.5462962962963,1.05
FISH,190,2025-09-09,2026-06-30,19.642857142857142,1.05
SCMA,168,2021-10-29,2022-07-11,11.082474226804123,1.05
EDGE,150,2023-11-15,2024-07-11,5.0,1.05
BYAN,138,2022-12-02,2023-07-05,8.344370860927153,1.05
KEJU,114,2024-12-30,2025-07-04,3.3076923076923075,1.05
GMTD,113,2024-01-04,2024-07-05,9.47420634920635,1.05
PTRO,107,2025-01-03,2025-06-26,10.266666666666667,1.05
PACK,105,2026-01-12,2026-06-30,26.75862068965517,1.05
SKRN,100,2023-01-06,2023-06-13,5.04424778761062,1.05
PANI,97,2022-08-09,2022-12-22,6.196319018404908,1.05
BPII,83,2024-05-13,2024-09-10,21.558704453441294,1.05
SOHO,76,2023-11-13,2024-03-05,10.873362445414847,1.05
LPGI,74,2022-07-11,2024-11-22,10.670731707317072,1.05
SGER,64,2024-05-28,2024-08-27,5.637254901960785,1.05
IMPC,61,2023-06-19,2023-09-18,11.955128205128204,1.05
HEAL,58,2021-07-30,2021-10-22,4.0358744394618835,1.05
ASRM,56,2024-05-22,2024-08-13,4.1891891891891895,1.05
GOOD,54,2021-07-09,2021-09-27,5.153631284916201,1.05
WGSH,54,2026-04-06,2026-06-30,3.7142857142857144,1.05
SCCO,52,2024-03-08,2024-06-07,5.024752475247524,1.05
INDS,52,2024-07-04,2024-09-13,9.090909090909092,1.05
SKLT,49,2023-12-05,2024-02-19,13.5,1.05
SMDR,49,2023-01-31,2023-04-12,7.22543352601156,1.05
SRTG,47,2021-05-18,2021-07-23,5.6192660550458715,1.05
CUAN,44,2025-07-15,2025-09-16,4.5583038869257955,1.05
AKRA,43,2022-01-12,2022-03-16,6.028776978417266,1.05
TPIA,41,2022-08-23,2022-10-18,4.120171673819742,1.05
MIDI,40,2023-03-06,2023-05-11,7.604790419161676,1.05
TUGU,37,2023-05-24,2023-07-21,2.549019607843137,1.05
ESTA,36,2022-08-10,2022-09-29,1.7014925373134329,1.05
HRUM,33,2022-06-02,2022-07-18,7.720588235294118,1.05
TBMS,32,2024-02-16,2024-04-04,1.8770949720670391,1.05
OASA,32,2023-01-10,2023-02-23,5.535714285714286,1.05
ISAT,30,2024-10-14,2024-11-22,5.116822429906542,1.05
BELL,27,2020-08-03,2020-09-11,4.831081081081081,1.05
TCID,26,2023-06-06,2023-07-14,2.019867549668874,1.05
DIVA,26,2021-09-02,2021-10-07,1.7380952380952381,1.05
MTDL,25,2022-01-03,2022-02-07,4.03030303030303,1.05
SONA,24,2024-01-03,2024-02-05,3.606060606060606,1.05
TIFA,24,2021-09-20,2021-10-22,1.3366336633663367,1.05
PBID,24,2024-05-31,2024-07-05,4.239130434782608,1.05
AMOR,23,2021-12-08,2022-01-10,2.1756373937677056,1.05
ASDM,23,2023-12-12,2024-01-16,2.1459227467811157,1.05
HOKI,22,2021-02-18,2021-03-22,3.4645669291338583,1.05
ERAA,20,2021-03-31,2021-04-28,5.682730923694779,1.05
BBCA,20,2021-10-13,2021-11-10,4.510273972602739,1.05
JECC,20,2024-06-13,2024-07-12,7.154471544715447,1.05
SILO,19,2022-04-08,2022-05-13,9.045226130653266,1.05
PUDP,19,2024-07-04,2024-07-30,2.4330357142857144,1.05
EMTK,19,2021-01-11,2021-02-04,5.480225988700565,1.05
TMAS,19,2023-05-23,2023-06-20,6.85251798561151,1.05
BUAH,18,2025-10-22,2025-11-14,2.051094890510949,1.05
JTPE,15,2022-07-28,2022-08-18,3.373015873015873,1.05
KDSI,13,2024-11-07,2024-11-25,4.1450777202072535,1.05
PYFA,12,2024-04-22,2024-05-08,9.482758620689655,1.05
MLIA,11,2022-07-15,2022-07-29,5.225225225225225,1.05
PBSA,10,2022-06-22,2022-07-05,2.401315789473684,1.05
HILL,9,2025-03-14,2025-03-26,6.953642384105961,1.05
MAPA,9,2023-07-17,2023-07-28,10.0,1.05
BMRI,7,2023-04-04,2023-04-13,1.911764705882353,1.05
EKAD,7,2022-08-22,2022-08-30,5.035460992907802,1.05
